Threads,Matrix,Technique,Execution Time
2,data_10_10_3.txt,0,1.256950
2,data_10_10_3.txt,1,2.300190
2,data_10_10_3.txt,2,2.199910
2,data_10_10_3.txt,3,2.302900
2,data_10_10_3.txt,4,2.516970
2,data_10_10_3.txt,5,1.105050
2,data_10_10_3.txt,6,2.204360
2,data_10_10_3.txt,7,2.111440
2,data_10_10000_5.txt,0,13.107800
2,data_10_10000_5.txt,1,7.022540
2,data_10_10000_5.txt,2,5.946300
2,data_10_10000_5.txt,3,6.053640
2,data_10_10000_5.txt,4,5.978870
2,data_10_10000_5.txt,5,6.900290
2,data_10_10000_5.txt,6,6.883980
2,data_10_10000_5.txt,7,7.092180
2,data_1000_1000_5.txt,0,50.699301
2,data_1000_1000_5.txt,1,29.943289
2,data_1000_1000_5.txt,2,31.275180
2,data_1000_1000_5.txt,3,31.892801
2,data_1000_1000_5.txt,4,32.507721
2,data_1000_1000_5.txt,5,46.147198
2,data_1000_1000_5.txt,6,32.855148
2,data_1000_1000_5.txt,7,32.807709
2,data_10000_10_5.txt,0,15.412801
2,data_10000_10_5.txt,1,6.350990
2,data_10000_10_5.txt,2,6.717330
2,data_10000_10_5.txt,3,6.470910
2,data_10000_10_5.txt,4,6.396270
2,data_10000_10_5.txt,5,7.751860
2,data_10000_10_5.txt,6,6.744830
2,data_10000_10_5.txt,7,6.894710
2,data_10000_10000_5.txt,0,4168.499219
2,data_10000_10000_5.txt,1,2233.741406
2,data_10000_10000_5.txt,2,2214.152930
2,data_10000_10000_5.txt,3,2193.586328
2,data_10000_10000_5.txt,4,2222.903906
2,data_10000_10000_5.txt,5,4091.316016
2,data_10000_10000_5.txt,6,2535.218945
2,data_10000_10000_5.txt,7,2611.583984
4,data_10_10_3.txt,0,1.224940
4,data_10_10_3.txt,1,2.313470
4,data_10_10_3.txt,2,2.283210
4,data_10_10_3.txt,3,2.486800
4,data_10_10_3.txt,4,2.328420
4,data_10_10_3.txt,5,1.320270
4,data_10_10_3.txt,6,2.462300
4,data_10_10_3.txt,7,2.376840
4,data_10_10000_5.txt,0,11.549720
4,data_10_10000_5.txt,1,6.204140
4,data_10_10000_5.txt,2,5.177410
4,data_10_10000_5.txt,3,5.245240
4,data_10_10000_5.txt,4,5.649280
4,data_10_10000_5.txt,5,4.838750
4,data_10_10000_5.txt,6,6.261350
4,data_10_10000_5.txt,7,5.818560
4,data_1000_1000_5.txt,0,54.116852
4,data_1000_1000_5.txt,1,25.645721
4,data_1000_1000_5.txt,2,25.139560
4,data_1000_1000_5.txt,3,26.622360
4,data_1000_1000_5.txt,4,26.364819
4,data_1000_1000_5.txt,5,28.153769
4,data_1000_1000_5.txt,6,26.842499
4,data_1000_1000_5.txt,7,28.641299
4,data_10000_10_5.txt,0,13.882710
4,data_10000_10_5.txt,1,6.211330
4,data_10000_10_5.txt,2,5.793110
4,data_10000_10_5.txt,3,6.443240
4,data_10000_10_5.txt,4,6.571880
4,data_10000_10_5.txt,5,5.483620
4,data_10000_10_5.txt,6,5.898700
4,data_10000_10_5.txt,7,7.322900
4,data_10000_10000_5.txt,0,4290.939844
4,data_10000_10000_5.txt,1,1384.739453
4,data_10000_10000_5.txt,2,1463.199512
4,data_10000_10000_5.txt,3,1422.237305
4,data_10000_10000_5.txt,4,1314.851172
4,data_10000_10000_5.txt,5,2074.194336
4,data_10000_10000_5.txt,6,1848.980664
4,data_10000_10000_5.txt,7,1559.363867
8,data_10_10_3.txt,0,1.197600
8,data_10_10_3.txt,1,3.108920
8,data_10_10_3.txt,2,3.284370
8,data_10_10_3.txt,3,3.169240
8,data_10_10_3.txt,4,2.713050
8,data_10_10_3.txt,5,1.304850
8,data_10_10_3.txt,6,2.761950
8,data_10_10_3.txt,7,2.727730
8,data_10_10000_5.txt,0,12.381060
8,data_10_10000_5.txt,1,4.830430
8,data_10_10000_5.txt,2,6.072780
8,data_10_10000_5.txt,3,5.145350
8,data_10_10000_5.txt,4,5.483560
8,data_10_10000_5.txt,5,4.899670
8,data_10_10000_5.txt,6,4.733910
8,data_10_10000_5.txt,7,5.377120
8,data_1000_1000_5.txt,0,53.222668
8,data_1000_1000_5.txt,1,24.720520
8,data_1000_1000_5.txt,2,23.455000
8,data_1000_1000_5.txt,3,25.070441
8,data_1000_1000_5.txt,4,24.747299
8,data_1000_1000_5.txt,5,28.216440
8,data_1000_1000_5.txt,6,24.619160
8,data_1000_1000_5.txt,7,24.991119
8,data_10000_10_5.txt,0,16.363190
8,data_10000_10_5.txt,1,4.941970
8,data_10000_10_5.txt,2,4.988970
8,data_10000_10_5.txt,3,5.958420
8,data_10000_10_5.txt,4,5.966830
8,data_10000_10_5.txt,5,5.466570
8,data_10000_10_5.txt,6,5.071030
8,data_10000_10_5.txt,7,5.417610
8,data_10000_10000_5.txt,0,4397.361328
8,data_10000_10000_5.txt,1,944.440918
8,data_10000_10000_5.txt,2,960.864063
8,data_10000_10000_5.txt,3,971.645117
8,data_10000_10000_5.txt,4,929.316211
8,data_10000_10000_5.txt,5,1263.778223
8,data_10000_10000_5.txt,6,987.922949
8,data_10000_10000_5.txt,7,1127.937988
16,data_10_10_3.txt,0,2.416000
16,data_10_10_3.txt,1,0.000000
16,data_10_10_3.txt,2,4.722790
16,data_10_10_3.txt,3,0.000000
16,data_10_10_3.txt,4,5.147380
16,data_10_10_3.txt,5,3.769040
16,data_10_10_3.txt,6,5.736470
16,data_10_10_3.txt,7,5.128470
16,data_10_10000_5.txt,0,14.176630
16,data_10_10000_5.txt,1,0.000000
16,data_10_10000_5.txt,2,6.132540
16,data_10_10000_5.txt,3,6.268520
16,data_10_10000_5.txt,4,6.018070
16,data_10_10000_5.txt,5,4.637050
16,data_10_10000_5.txt,6,5.828900
16,data_10_10000_5.txt,7,8.094370
16,data_1000_1000_5.txt,0,51.113660
16,data_1000_1000_5.txt,1,25.616629
16,data_1000_1000_5.txt,2,25.859052
16,data_1000_1000_5.txt,3,28.955750
16,data_1000_1000_5.txt,4,28.709698
16,data_1000_1000_5.txt,5,32.610220
16,data_1000_1000_5.txt,6,30.463281
16,data_1000_1000_5.txt,7,30.274332
16,data_10000_10_5.txt,0,16.062410
16,data_10000_10_5.txt,1,4.988500
16,data_10000_10_5.txt,2,4.914300
16,data_10000_10_5.txt,3,0.000000
16,data_10000_10_5.txt,4,7.609980
16,data_10000_10_5.txt,5,5.245620
16,data_10000_10_5.txt,6,5.129800
16,data_10000_10_5.txt,7,5.964750
16,data_10000_10000_5.txt,0,4477.075391
16,data_10000_10000_5.txt,1,840.229492
16,data_10000_10000_5.txt,2,852.053125
16,data_10000_10000_5.txt,3,846.931250
16,data_10000_10000_5.txt,4,956.429297
16,data_10000_10000_5.txt,5,822.858398
16,data_10000_10000_5.txt,6,846.326367
16,data_10000_10000_5.txt,7,986.365527

16,data_10_10_3.txt,1,2.917180
16,data_10_10_3.txt,3,2.998130
16,data_10_10000_5.txt,1,4.696450
16,data_10000_10_5.txt,3,5.902610
